,Datum,Dauer,Rufnummer
0havvH4B-6IdCuZKUILX,02.02.2022 17:22,00:00:35,0223377973
0xavvH4B-6IdCuZKUILX,02.02.2022 17:03,00:00:02,0223377973
4mOZDXgBACF33aILh7hz,24.03.2017 12:55,00:00,0223377973
rmOZDXgBACF33aILh7nK,01.04.2017 14:54,00:19,0223377973
sGOZDXgBACF33aILh7nK,01.05.2016 13:44,00:03,0223377973
tmOZDXgBACF33aILh7nK,01.06.2017 10:37,00:18,0223377973
uGOZDXgBACF33aILh7nK,01.06.2018 15:04,00:01,0223377973
vmOZDXgBACF33aILh7nK,01.07.2016 14:29,00:01,0223377973
v2OZDXgBACF33aILh7nK,01.07.2018 20:58,00:04,0223377973
wGOZDXgBACF33aILh7nK,01.08.2018 17:28,00:04,0223377973
xWOZDXgBACF33aILh7nK,01.09.2017 11:10,01:09,0223377973
yWOZDXgBACF33aILh7nK,01.09.2018 10:57,00:31,0223377973
zGOZDXgBACF33aILh7nK,01.11.2015 11:58,00:16,0223377973
zmOZDXgBACF33aILh7nK,01.12.2016 13:41,00:03,0223377973
0mOZDXgBACF33aILh7nK,01.12.2017 12:04,00:27,0223377973
02OZDXgBACF33aILh7nK,02.02.2015 13:15,00:01,0223377973
3GOZDXgBACF33aILh7nK,02.02.2018 14:55,00:50,0223377973
3mOZDXgBACF33aILh7nK,02.03.2016 13:33,00:08,0223377973
4GOZDXgBACF33aILh7nK,02.03.2018 15:51,00:35,0223377973
4mOZDXgBACF33aILh7nK,02.04.2018 19:52,00:06,0223377973
42OZDXgBACF33aILh7nK,02.05.2016 19:13,00:01,0223377973
6mOZDXgBACF33aILh7nK,02.06.2017 17:59,00:01,0223377973
92OZDXgBACF33aILh7nK,02.12.2015 14:22,00:01,0223377973
G2OZDXgBACF33aILh7ra,02.12.2016 18:44,00:01,0223377973
H2OZDXgBACF33aILh7ra,02.12.2017 14:59,00:01,0223377973
IWOZDXgBACF33aILh7ra,03.01.2016 16:01,00:03,0223377973
I2OZDXgBACF33aILh7ra,03.03.2016 11:47,00:14,0223377973
JmOZDXgBACF33aILh7ra,03.04.2016 18:23,00:05,0223377973
KGOZDXgBACF33aILh7ra,03.04.2018 18:29,00:43,0223377973
KWOZDXgBACF33aILh7ra,03.05.2015 18:32,00:06,0223377973
K2OZDXgBACF33aILh7ra,03.05.2016 11:47,00:01,0223377973
LGOZDXgBACF33aILh7ra,03.05.2016 14:40,00:33,0223377973
LmOZDXgBACF33aILh7ra,03.05.2017 12:58,00:19,0223377973
L2OZDXgBACF33aILh7ra,03.05.2018 12:20,00:09,0223377973
MGOZDXgBACF33aILh7ra,03.06.2016 12:31,00:03,0223377973
MmOZDXgBACF33aILh7ra,03.06.2018 14:57,00:01,0223377973
M2OZDXgBACF33aILh7ra,03.07.2015 18:17,01:22,0223377973
NGOZDXgBACF33aILh7ra,03.07.2016 18:44,00:50,0223377973
PGOZDXgBACF33aILh7ra,03.10.2016 18:50,00:03,0223377973
PWOZDXgBACF33aILh7ra,03.10.2017 19:58,00:22,0223377973
PmOZDXgBACF33aILh7ra,03.10.2018 11:58,00:54,0223377973
TmOZDXgBACF33aILh7ra,04.02.2015 09:29,00:03,0223377973
VWOZDXgBACF33aILh7ra,04.02.2017 12:18,00:19,0223377973
